trip_id,schedule_relationship,route_id,latitude,longitude,current_stop_sequence,timestamp,vehicle_id,vehicle_label,color
1_4622202,0,804,52.40266036987305,16.669830322265625,11,1758112629,8062,804/42,#FFA500
"1_4622223^P,S",0,886,52.487430572509766,16.502859115600586,12,1758112639,8005,886/43,#FFA500
"1_4622239^S,W",0,826,52.447181701660156,16.728960037231445,3,1758112644,8043,826/44,#FFA500
1_4622246^+,0,812,52.41653823852539,16.881729125976562,0,1758112639,8009,812/45,#FFA500
1_4622255^+,0,802,52.43663024902344,16.78553009033203,11,1758112634,8039,802/46,#FFA500
1_4622265^D,0,811,52.462650299072266,16.655759811401367,2,1758112634,8040,811/47,#FFA500
1_4622271^A,0,813,52.458919525146484,16.685569763183594,18,1758112634,8045,813/48,#FFA500
1_4622284^S+,0,825,52.47343063354492,16.645389556884766,0,1758112644,8002,825/49,#FFA500
1_4622292^A,0,811,52.41590881347656,16.88068962097168,21,1758112644,8017,811/50,#FFA500
1_4622321^+,0,802,52.420528411865234,16.76786994934082,16,1758112644,8018,802/54,#FFA500
1_4622344^+,0,822,52.42155075073242,16.871540069580078,16,1758112639,8007,822/55,#FFA500
1_4622361^e+,0,822,52.43212890625,16.81351089477539,8,1758112634,8047,822/56,#FFA500
1_4655302^+,0,901,52.46495819091797,16.904109954833984,6,1758112634,9122,901/2,#FFA500
1_4655332^+,0,902,52.48918151855469,16.904260635375977,4,1758112644,9103,902/4,#FFA500
1_4655367^+,0,904,52.464759826660156,16.918119430541992,0,1758112634,9114,904/5,#FFA500
1_4655391^M+,0,902,52.46390914916992,16.91806983947754,1,1758112639,9105,902/6,#FFA500
1_4655410^+,0,905,52.48263931274414,16.860300064086914,28,1758112629,9107,905/11,#FFA500
1_4655463^+,0,907,52.53559875488281,16.835779190063477,17,1758112629,9110,907/14,#FFA500
1_4655477^+,0,905,52.46379852294922,16.918010711669922,2,1758112644,9120,905/15,#FFA500
1_4655488^+,0,905,52.561180114746094,16.839630126953125,0,1758112644,9106,905/16,#FFA500
1_4811455^+,0,121,52.4179801940918,16.875280380249023,1,1758112639,1401,121/1,#FFA500
1_4811484^+,0,122,52.3832893371582,16.833450317382812,0,1758112644,1490,122/1,#FFA500
1_4811539^+,0,170,52.43526840209961,16.931989669799805,0,1758112639,1472,170/5,#FFA500
1_4811561^+,0,145,52.39934158325195,16.89361000061035,11,1758112639,1008,145/1,#FFA500
1_4811608^+,0,145,52.382869720458984,16.8647403717041,2,1758112624,1009,145/2,#FFA500
1_4811634^+,0,145,52.381141662597656,16.86220932006836,0,1758112644,1010,145/3,#FFA500
1_4811657^+,0,145,52.400089263916016,16.889570236206055,3,1758112634,1201,145/4,#FFA500
1_4811685^+,0,146,52.46025848388672,16.91735076904297,13,1758112629,1465,146/1,#FFA500
